case,source,split,embedded,lsb,capacity_fraction,payload_bytes,start_unit,seed,cover_sha256,image_sha256,chi_score,rs_score,default_category,calibrated_category
astronaut_lsb0_rate0.0_offset0,astronaut.png,calibration,False,0,0.0,0,0,2005000,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,b8c8afe36141c45dd06f55d257d6b951b4c77a1a2c31fe09e78452cdda2dfcd4,0.0,0.006927490234375,Low indication,Low indication
astronaut_lsb1_rate0.01_offset0,astronaut.png,calibration,True,1,0.01,983,0,2005101,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,655f166d740f181ae4ad731a12f57589fe500438673bd966c77872d7f57779fa,0.0,0.00902557373046875,Low indication,Low indication
astronaut_lsb1_rate0.01_offset0.03,astronaut.png,calibration,True,1,0.01,953,23592,2005104,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,b98c7c85bf168e993d8cd2b0ea1f708716d80aadbe4715fe23a4656c2843ec46,0.0,0.00933074951171875,Low indication,Low indication
astronaut_lsb1_rate0.5_offset0,astronaut.png,calibration,True,1,0.5,49152,0,2005150,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,10edd070d809733f16258798aa19c298ff586c2723424313db6d49dc0f15f48d,0.0,0.08396148681640625,Inconclusive,Low indication
astronaut_lsb1_rate0.5_offset0.03,astronaut.png,calibration,True,1,0.5,47677,23592,2005153,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,11ff39d2c4410cad279a3df28355e5633833dc9315a173ef082bf95a9ccb1b98,0.0,0.08194732666015625,Inconclusive,Low indication
astronaut_lsb1_rate0.95_offset0,astronaut.png,calibration,True,1,0.95,93388,0,2005195,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,32b869114283544fd19f5114096946af64e61472917633554d91fa5850da468d,7.696600189112364e-22,0.16793060302734375,Inconclusive,Inconclusive
astronaut_lsb1_rate0.95_offset0.03,astronaut.png,calibration,True,1,0.95,90587,23592,2005198,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,c4e63a03e5280a7ec61e0787636ad53a62a6222d3c2b3fd4c3e7ec42c602d4cb,1.0967909283536503e-20,0.1635894775390625,Inconclusive,Inconclusive
astronaut_lsb2_rate0.01_offset0,astronaut.png,calibration,True,2,0.01,1966,0,2005201,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,81d6ff7655e6f404a3c7e040bbbcda6fd9120de8b25d05403234573cfeeab33d,0.0,0.0090179443359375,Low indication,Low indication
astronaut_lsb2_rate0.01_offset0.03,astronaut.png,calibration,True,2,0.01,1907,23592,2005204,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,c689b24e08a6b55a2bf48c135c40074b82041ec59fbfb779d7cb80f9594425b5,0.0,0.00891876220703125,Low indication,Low indication
astronaut_lsb2_rate0.5_offset0,astronaut.png,calibration,True,2,0.5,98304,0,2005250,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,5500ca641d9683422a35f5b263e140f740dce79bf6ce3ebfd044e34087552bad,0.0,0.0706939697265625,Inconclusive,Low indication
astronaut_lsb2_rate0.5_offset0.03,astronaut.png,calibration,True,2,0.5,95355,23592,2005253,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,e05a2c05b8c32ea8d8176da7b4b673e966fa16920126e3700eb56b3dc65bc319,0.0,0.07321929931640625,Inconclusive,Low indication
astronaut_lsb2_rate0.95_offset0,astronaut.png,calibration,True,2,0.95,186777,0,2005295,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,b1e2e037d24ad0ee5ebc098d4d1cd2925bd448542678752499739325cfad5316,4.523861285409674e-50,0.13730621337890625,Inconclusive,Inconclusive
astronaut_lsb2_rate0.95_offset0.03,astronaut.png,calibration,True,2,0.95,181174,23592,2005298,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,9a8711d110b43e1f9469e26f69e4dfc67d5b95d6f4402df043d2eebd836097ab,1.614171617086432e-46,0.13187408447265625,Inconclusive,Inconclusive
astronaut_lsb4_rate0.01_offset0,astronaut.png,calibration,True,4,0.01,3932,0,2005401,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,2562ca4aef5a6afc2f9b2f21d63916f165758e4da29a23d85869d64827dfbe13,0.0,0.0074615478515625,Low indication,Low indication
astronaut_lsb4_rate0.01_offset0.03,astronaut.png,calibration,True,4,0.01,3814,23592,2005404,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,1bc55e581515b4a1ebf450f03860d67b36087e64761d5bc2a4937c14d9d3a4d3,0.0,0.008392333984375,Low indication,Low indication
astronaut_lsb4_rate0.5_offset0,astronaut.png,calibration,True,4,0.5,196608,0,2005450,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,c944703b26c1c8015a7ef72af1218d7dd8e14300451c7b8880fd5b06fc0d9524,0.0,0.03473663330078125,Low indication,Low indication
astronaut_lsb4_rate0.5_offset0.03,astronaut.png,calibration,True,4,0.5,190710,23592,2005453,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,0201a0ac9df4a2512a5c11eace546d700a0d52904666c654e0cefd8110606ed8,0.0,0.03749847412109375,Low indication,Low indication
astronaut_lsb4_rate0.95_offset0,astronaut.png,calibration,True,4,0.95,373555,0,2005495,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,de6b266382867d7ce8f9654d3a7c5110bd86e1d2db75de9e3a42fe8bc7b8e947,8.392670019471073e-123,0.0623779296875,Inconclusive,Low indication
astronaut_lsb4_rate0.95_offset0.03,astronaut.png,calibration,True,4,0.95,362349,23592,2005498,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,0b697c251fc10c405fa09bd7f4a652c218553999cc6a7e29cc0eeeb867a56213,1.443423797151026e-112,0.05951690673828125,Inconclusive,Low indication
astronaut_lsb8_rate0.01_offset0,astronaut.png,calibration,True,8,0.01,7864,0,2005801,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,4fd517e9ffe41c599bb5f0dd4a6e1653baa523b06664a981eb80fb034d42c028,0.0,0.00673675537109375,Low indication,Low indication
astronaut_lsb8_rate0.01_offset0.03,astronaut.png,calibration,True,8,0.01,7628,23592,2005804,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,eac36e94ad349af33af644cc135420bafa07891c4fb5c62b528d21cb6a4d660d,0.0,0.00717926025390625,Low indication,Low indication
